Province,U_R,COICOP,Products,Weights,Date,Index,Source
0,0,10,Education,200.9885867838568,2009-12-01,61.173634481470174,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2009-12-01,84.40753718871339,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2009-12-01,86.349292840158,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2010-01-01,84.94961555362332,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2010-01-01,82.54578802699689,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2010-01-01,93.67350075737387,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2010-01-01,82.93646500198494,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2010-01-01,71.84749224704288,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2010-01-01,79.6610356871928,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2010-01-01,84.65464683592432,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2010-01-01,88.57511041802363,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2010-01-01,85.07317177158562,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2010-01-01,91.18238985821621,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2010-01-01,95.85840718495056,All Rwanda
0,0,06,Health,121.09522911844475,2010-01-01,88.04021373123494,All Rwanda
0,0,07,Transport,772.5927231856721,2010-01-01,89.21011684292993,All Rwanda
0,0,08,Communication,238.1321768462081,2010-01-01,109.50843590840437,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2010-01-01,96.34259592866454,All Rwanda
0,0,10,Education,200.9885867838568,2010-01-01,61.167142523645964,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2010-01-01,84.74479320044784,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2010-01-01,85.40937976932341,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2010-02-01,82.80416004302845,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2010-02-01,78.86224871196497,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2010-02-01,90.96037296102682,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2010-02-01,82.85451437998486,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2010-02-01,64.98459664606177,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2010-02-01,76.16245699464928,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2010-02-01,84.34853906810241,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2010-02-01,88.03999116701729,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2010-02-01,85.79821738006845,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2010-02-01,90.7502010644757,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2010-02-01,95.35624744398496,All Rwanda
0,0,06,Health,121.09522911844475,2010-02-01,87.91755301051177,All Rwanda
0,0,07,Transport,772.5927231856721,2010-02-01,88.18536458304744,All Rwanda
0,0,08,Communication,238.1321768462081,2010-02-01,109.57648201029642,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2010-02-01,95.21320492120317,All Rwanda
0,0,10,Education,200.9885867838568,2010-02-01,65.50305296586605,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2010-02-01,85.43384669338158,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2010-02-01,85.40433122427311,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2010-03-01,83.43020136387925,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2010-03-01,79.628313031005,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2010-03-01,89.20940740688376,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2010-03-01,81.66570221663602,All Rwanda
0,0,01.1.4,"Milk, cheese and eggs",112.97526668095993,2010-03-01,67.17841447669944,All Rwanda
0,0,01.1.7,Vegetables,1842.8570486570281,2010-03-01,78.202576908881,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2010-03-01,84.0495444626897,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2010-03-01,91.70978098086242,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2010-03-01,86.7730164264299,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2010-03-01,90.64434742643716,All Rwanda
